IRStationCode,InstrumentEraStart,InstrumentEraEnd,Instrument,GalvoFreePeriod (seconds),GalvoDampingConst,Azimuth,Dip
ALE,1961-09-29,1962-02-14,Columbia LPE,,,,
ALE,1961-09-29,1962-02-14,Columbia LPN,,,,
ALE,1961-09-29,1962-02-14,Columbia LPZ,,,,
ALE,1961-09-29,1962-02-14,Willmore SPN,,,,
ALE,1961-09-29,1962-02-14,Willmore SPZ,,,,
ALE,1962-02-14,,Willmore SPZ,,,,
ALE,1962-02-14,,Columbia LPE,,,,
ALE,1962-02-14,,Columbia LPN,,,,
ALE,1962-02-14,,Columbia LPZ,,,,
ALE,1962-02-14,,Willmore SPE,,,,
ALE,1962-02-14,,Willmore SPN,,,,
BLC,1965-07-26,1977-06-22,Columbia LPN,,,,
BLC,1965-07-26,1977-06-22,Columbia LPZ,,,,
BLC,1965-07-26,1977-06-22,Willmore SPE,,,,
BLC,1965-07-26,1977-06-22,Willmore SPN,,,,
BLC,1965-07-26,1977-06-22,Willmore SPZ,,,,
BLC,1965-07-26,1977-06-22,Columbia LPE,,,,
CHQ,1971-11-11,1982-07-04,GEOTECH SPZ S-13,,,,
EDM,1963-04-19,,Columbia LPE,,,,
EDM,1963-04-19,,Columbia LPN,,,,
EDM,1963-04-19,,Columbia LPZ,,,,
EDM,1963-04-19,,Willmore SPE,,,,
EDM,1963-04-19,,Willmore SPN,,,,
EDM,1963-04-19,,Willmore SPZ,,,,
FCC,1965-05-12,1984-06-05,Columbia LPN,,,,
FCC,1965-05-12,1984-06-05,Columbia LPE,,,,
FCC,1965-05-12,1984-06-05,Columbia LPZ,,,,
FCC,1965-05-12,1984-06-05,Willmore SPN,,,,
FCC,1965-05-12,1984-06-05,Willmore SPE,,,,
FCC,1965-05-12,1984-06-05,Willmore SPZ,,,,
FFC,1965-05-12,,Columbia LPN,,,,
FFC,1965-05-12,,Columbia LPE,,,,
FFC,1965-05-12,,Columbia LPZ,,,,
FFC,1965-05-12,,Willmore SPN,,,,
FFC,1965-05-12,,Willmore SPE,,,,
FFC,1965-05-12,,Willmore SPZ,,,,
UNB,1971-04-01,,Willmore SPZ,,,,
FRB,1972-12-01,,Columbia LPN,,,,
FRB,1972-12-01,,Columbia LPE,,,,
FRB,1972-12-01,,Columbia LPZ,,,,
FRB,1972-12-01,,Willmore SPE,,,,
FRB,1972-12-01,,Willmore SPN,,,,
FRB,1972-12-01,,Willmore SPZ,,,,
FSJ,1965-02-22,1979-04-17,Columbia LPN,,,,
FSJ,1965-02-22,1979-04-17,Columbia LPE,,,,
FSJ,1965-02-22,1979-04-17,Columbia LPZ,,,,
FSJ,1965-02-22,1979-04-17,Willmore SPE,,,,
FSJ,1965-02-22,1979-04-17,Willmore SPN,,,,
FSJ,1965-02-22,1979-04-17,Willmore SPZ,,,,
HAL,1915,1938-12-31,Mainka N (smoked paper),10,5-7,0,0
HAL,1915,1938-12-31,Mainka E (smoked paper),10,5-7,90,0
HAL,1939-01-01,1952-07-30,Bosch N (photographic),,,0,0
HAL,1939-01-01,1952-07-30,Bosch E (photographic),,,90,0
HAL,1952-07-01,1957-09-04,Benioff SPZ,,,0,-90
HAL,1952-07-01,1956-11-24,Benioff LPZ,,,0,-90
HAL,1952-07-01,1960-06-01,Sprengnether LPH,,,,
HAL,1956-11-24,1967-08-01,Wilmore SPZ,,,0,-90
HAL,1960-06-10,1971-03-24,Columbia LP,,,,
HAL,1967-08-07,1971-03-25,Willmore SP,,,,
HAL,1971-04-01,,Willmore SPZ only,,,0,-90
INK,1969-09-25,,Columbia LPE,,,,
INK,1969-09-25,,Columbia LPN,,,,
INK,1969-09-25,,Columbia LPZ,,,,
INK,1969-09-25,,Willmore SPN,,,,
INK,1969-09-25,,Willmore SPE,,,,
INK,1969-09-25,,Willmore SPZ,,,,
KILO,1939-12-31,1945-11-01,Converted Heiland field seismometer SPZ,,,0,-90
KILO,1947-08-01,1950-04-13,Sprengnether SPZ,,,0,-90
KILO,1950-04-14,1956-01-30,Sprengnether SPZ,,,,
KILO,1956-01-01,1957-01-31,Willmore-Watt LPZ,,,0,-90
KILO,1957-02-01,1957-06-30,Willmore LPH,,,,
POC,1972-01-20,1980-10-17,GEOTECH SPZ S-13,,,,
POC,1972-01-20,1980-10-17,GEOTECH SPE S-13,,,,
POC,1972-01-20,1980-10-17,GEOTECH SPN S-13,,,,
MCC,1966-07-01,1977-06-03,Willmore SPZ,,,,
MNT,1953-08-15,1956-04-29,Sprengnether with Willmore Galvo,,,,
MNT,1956-04-30,1958-03-25,Benioff LPN,,,,
MNT,1956-04-30,1958-03-25,Benioff LPE,,,,
MNT,1956-04-30,1958-03-25,Benioff LPZ,,,,
MNT,1958-03-26,1959-12-01,Benioff SPZ,,,,
MNT,1958-03-26,1959-12-01,Benioff IPE,,,,
MNT,1958-03-26,1959-12-01,Benioff IPN,,,,
MNT,1960-01-01,1961-01-01,Benioff LPN,,,,
MNT,1960-01-01,1961-01-01,Benioff LPZ,,,,
MNT,1960-01-01,1961-01-01,Benioff SPZ,,,,
MNT,1960-01-01,1961-01-01,Benioff IPE,,,,
MNT,1960-01-01,1961-01-01,Benioff IPN,,,,
MNT,1960-01-01,1961-01-01,Benioff LPE,,,,
MNT,1961-01-02,1967-07-13,Columbia LPZ,,,,
MNT,1961-01-02,1967-07-13,Benioff IPE,,,,
MNT,1961-01-02,1967-07-13,Benioff IPN,,,,
MNT,1961-01-02,1967-07-13,Benioff IPZ,,,,
MNT,1961-01-02,1967-07-13,Benioff SPE,,,,
MNT,1961-01-02,1967-07-13,Benioff SPN,,,,
MNT,1961-01-02,1967-07-13,Benioff SPZ,,,,
MNT,1961-01-02,1967-07-13,Columbia LPE,,,,
MNT,1961-01-02,1967-07-13,Columbia LPN,,,,
MNT,1967-07-14,,Benioff SPN,,,,
MNT,1967-07-14,,Benioff SPE,,,,
MNT,1967-07-14,,Benioff SPZ,,,,
MNT,1967-07-14,,Columbia LPE,,,,
MNT,1967-07-14,,Columbia LPN,,,,
MNT,1967-07-14,,Columbia LPZ,,,,
MNT,1970-09-29,,Willmore SPZ,,,,
MBC,1961-10-18,,Willmore SPZ,,,,
MBC,1961-10-18,,Columbia LPE,,,,
MBC,1961-10-18,,Columbia LPN,,,,
MBC,1961-10-18,,Columbia LPZ,,,,
MBC,1961-10-18,,Willmore SPE,,,,
MBC,1961-10-18,,Willmore SPN,,,,
OTT,1906-01-01,1937,Bosch N (photographic),8,120,0,0
OTT,1906-01-01,1937,Bosch E (photographic),8,120,90,0
OTT,1912-03-01,1937,Wiechert Z (80kg) (smoked paper),6.3,120,0,-90
OTT,1922-05-01,1959-12-31,Milne-Shaw N,,,0,0
OTT,1922-12-01,1959-12-31,Milne-Shaw E,,,90,0
OTT,1937-04-01,1960-11-24,Benioff SPZ,,,0,-90
OTT,1937-04-01,1960-02-22,Benioff LPZ,,,0,-90
OTT,1953-01-01,1956,Leet-Blumberg SP (pen and ink),,,,
OTT,1956-12-12,,Columbia LPZ,,,0,-90
OTT,1960-12-02,1961-11-13,Willmore SP,,,,
OTT,1962-12-18,,Willmore SPZ,,,0,-90
OTT,1963-01-23,,Willmore SPH,,,,
OTT,1963-01-31,,Columbia LP,,,,
PNT,1960-01-01,1960-12-31,Benioff SPZ,,,,
PNT,1961-01-01,1963-09-12,Benioff SPZ,,,,
PNT,1961-01-01,1963-09-12,Columbia LPE,,,,
PNT,1961-01-01,1963-09-12,Columbia LPN,,,,
PNT,1961-01-01,1963-09-12,Columbia LPZ,,,,
PNT,1961-01-01,1963-09-12,Willmore SPE,,,,
PNT,1961-01-01,1963-09-12,Willmore SPN,,,,
PNT,1961-01-01,1963-09-12,Willmore SPZ,,,,
PNT,1963-09-13,,Columbia LPE,,,,
PNT,1963-09-13,,Columbia LPN,,,,
PNT,1963-09-13,,Columbia LPZ,,,,
PNT,1963-09-13,,Willmore SPE,,,,
PNT,1963-09-13,,Willmore SPN,,,,
PNT,1963-09-13,,Willmore SPZ,,,,
PHC,1963-03-17,,Columbia LPE,,,,
PHC,1963-03-17,,Columbia LPN,,,,
PHC,1963-03-17,,Columbia LPZ,,,,
PHC,1963-03-17,,Willmore SPE,,,,
PHC,1963-03-17,,Willmore SPN,,,,
PHC,1963-03-17,,Willmore SPZ,,,,
QCC,,,,,,,
QCQ,1971-09-24,,GEOTECH SPZ S-13,,,,
RES,1950-08-29,1951-12-31,Sprengnether series DH,1.4,,0,-90
RES,1950-08-29,1951-12-31,Sprengnether series H,14.1,,0,0
RES,1950-08-29,1951-12-31,Sprengnether series H,13.5,,90,0
RES,1952-01-01,1956-12-31,Sprengnether LPE,,,,
RES,1952-01-01,1956-12-31,Sprengnether SPZ,,,,
RES,1952-01-01,1956-12-31,Press LPZ,,,,
RES,1952-01-01,1956-12-31,Sprengnether LPN,,,,
RES,1957-01-01,1957-10-31,Sprengnether LPN,,,,
RES,1957-01-01,1957-10-31,Columbia LPZ,,,,
RES,1957-01-01,1957-10-31,Sprengnether LPE,,,,
RES,1957-01-01,1957-10-31,Sprengnether SPZ,,,,
RES,1957-11-01,1958-08-15,Sprengnether SPZ,,,,
RES,1957-11-01,1958-08-15,Willmore SPZ,,,,
RES,1957-11-01,1958-08-15,Benioff SPZ,,,,
RES,1957-11-01,1958-08-15,Columbia LPE,,,,
RES,1957-11-01,1958-08-15,Columbia LPN,,,,
RES,1957-11-01,1958-08-15,Columbia LPZ,,,,
RES,1957-11-01,1958-08-15,Sprengnether LPE,,,,
RES,1957-11-01,1958-08-15,Spengnether LPN,,,,
RES,1958-08-16,1958-12-31,Willmore SPE,,,,
RES,1958-08-16,1958-12-31,Willmore SPZ,,,,
RES,1958-08-16,1958-12-31,Columbia LPE,,,,
RES,1958-08-16,1958-12-31,Columbia LPN,,,,
RES,1958-08-16,1958-12-31,Columbia LPZ,,,,
RES,1958-08-16,1958-12-31,Sprengnether LPE,,,,
RES,1958-08-16,1958-12-31,Sprengnether LPN,,,,
RES,1958-08-16,1958-12-31,Willmore SPN,,,,
RES,1959-01-01,1959-12-31,Willmore SPE,,,,
RES,1959-01-01,1959-12-31,Willmore SPZ,,,,
RES,1959-01-01,1959-12-31,Columbia LPE,,,,
RES,1959-01-01,1959-12-31,Columbia LPN,,,,
RES,1959-01-01,1959-12-31,Columbia LPZ,,,,
RES,1959-01-01,1959-12-31,Press LPZ,,,,
RES,1959-01-01,1959-12-31,Sprengnether LPE,,,,
RES,1959-01-01,1959-12-31,Sprengnether LPN,,,,
RES,1959-01-01,1959-12-31,Willmore SPN,,,,
RES,1960-01-01,1982-03-28,Willmore SPE,,,,
RES,1960-01-01,1982-03-28,Willmore SPZ,,,,
RES,1960-01-01,1982-03-28,Willmore SPN,,,,
RES,1960-01-01,1982-03-28,Columbia LPE,,,,
RES,1960-01-01,1982-03-28,Columbia LPN,,,,
RES,1960-01-01,1982-03-28,Columbia LPZ,,,,
STBON,1910-01-01,1922,Wiechert N,,,0,0
STBON,1910-01-01,1922,Wiechert E,,,90,0
STJ,1964-06-01,,Columbia LPE,,,,
STJ,1964-06-01,,Columbia LPN,,,,
STJ,1964-06-01,,Columbia LPZ,,,,
STJ,1964-06-01,,Willmore SPE,,,,
STJ,1964-06-01,,Willmore SPN,,,,
STJ,1964-06-01,,Willmore SPZ,,,,
POC,1925-04-01,1927-06-09,Milne-Shaw N,,,0,0
POC,1925-04-01,1927-06-09,Milne-Shaw E,,,90,0
SAS,1915,1942-08-01,Mainka N (smoked paper),9.1,5,0,0
SAS,1915,1942-08-01,Mainka E (smoked paper),9.3,5,90,0
SAS,1942-11-01,1945-12-12,Milne-Shaw N (photographic),,,0,0
SAS,1942-11-01,1945-12-12,Milne-Shaw E (photographic),,,90,0
SAS,1945-12-13,1960-03-01,Milne-Shaw N (photographic),,,0,0
SAS,1945-12-13,1960-03-31,Milne-Shaw E (photographic),,,90,0
SCB,1962-05-23,1973-04-03,Columbia LPE,,,,
SCB,1962-05-23,1973-04-03,Columbia LPN,,,,
SCB,1962-05-23,1973-04-03,Columbia LPZ,,,,
SCB,1962-05-23,1973-04-03,Willmore SPE,,,,
SCB,1962-05-23,1973-04-03,Willmore SPN,,,,
SCB,1962-05-23,1973-04-03,Willmore SPZ,,,,
SCH,1955-01-01,1957-06-30,Willmore-Watt LPZ,,,,
SCH,1962-07-11,,Columbia LPE,,,,
SCH,1962-07-11,,Columbia LPN,,,,
SCH,1962-07-11,,Columbia LPZ,,,,
SCH,1962-07-11,,Willmore SPE,,,,
SCH,1962-07-11,,Willmore SPN,,,,
SCH,1962-07-11,,Willmore SPZ,,,,
SIC,1963-02-01,,Willmore SPZ,,,,
SFA,1927-09-01,1961-05-03,Milne-Shaw E (photographic),,,90,0
SFA,1927-09-01,1961-05-03,Wood-Anderson E,,,90,0
SFA,1953-10-15,1961-05-03,Benioff SPZ,,,0,-90
SFA,1962-02-06,1962-11-17,Willmore SP,,,,
SFA,1962-02-06,1962-11-17,Columbia LPH,,,,
SFA,1963-02-01,1965-11-12,Willmore SPZ,,,0,-90
SFA,1965-11-13,1975-07-31,Wilmore SP,,,,
SFA,1965-11-13,1975-07-31,Columbia LP,,,,
SHF,1927-08-09,1964-12-31,Wood-Anderson N,,,0,0
SHF,1953-10-15,1965-12-08,Wilmore SPZ,,,0,-90
SUD,1967-11-22,,Willmore SPZ,,,,
SES,1966-05-11,,Columbia LPE,,,,
SES,1966-05-11,,Columbia LPN,,,,
SES,1966-05-11,,Columbia LPZ,,,,
SES,1966-05-11,,Willmore SPE,,,,
SES,1966-05-11,,Willmore SPN,,,,
SES,1966-05-11,,Willmore SPZ,,,,
TNT,1897-09,1923-05-01,Milne N (photographic),18,N/A,0,0
TNT,1897-09,1923-05-01,Milne E (photographic),18,N/A,90,0
TNT,1923-05-01,1942-05-01,Milne-Shaw N (photographic),,,0,0
TNT,1923-05-01,1941-04-01,Milne-Shaw E (photographic),,,90,0
VIC,1898-10,1922-12-31,Milne E,18,,90,0
VIC,1914-01-01,1922-12-31, Wiechert (80kg vertical),5,70,0,-90
VIC,1914-01-01,1922-12-31,Milne N,,,,
VIC,1923-01-01,1945-12-31,Milne-Shaw N,,,,
VIC,1923-01-01,1945-12-31,Milne-Shaw E,,,,
VIC,1923-01-01,1945-12-31,Wiechert Z,,,,
VIC,1946-01-01,1948-06-15,Milne-Shaw N,,,,
VIC,1946-01-01,1948-06-15,Milne-Shaw E,,,,
VIC,1948-06-16,1953-12-02,Milne-Shaw E,,,,
VIC,1948-06-16,1953-12-02,Benioff SPZ,,,,
VIC,1948-06-16,1953-12-02,Milne-Shaw N,,,,
VIC,1953-12-03,1955-01-16,Benioff SPZ,,,,
VIC,1953-12-03,1955-01-16,Benioff SPE,,,,
VIC,1953-12-03,1955-01-16,Benioff SPN,,,,
VIC,1953-12-03,1955-01-16,Milne-Shaw E,,,,
VIC,1953-12-03,1955-01-16,Milne-Shaw N,,,,
VIC,1955-01-17,1960-12-08,Milne-Shaw N,,,,
VIC,1955-01-17,1960-12-08,Benioff LPN,,,,
VIC,1955-01-17,1960-12-08,Benioff LPZ,,,,
VIC,1955-01-17,1960-12-08,Benioff SPE,,,,
VIC,1955-01-17,1960-12-08,Benioff SPN,,,,
VIC,1955-01-17,1960-12-08,Benioff SPZ,,,,
VIC,1955-01-17,1960-12-08,Milne-Shaw E,,,,
VIC,1960-12-09,1961-02-07,Benioff SPN,,,,
VIC,1960-12-09,1961-02-07,Benioff LPE,,,,
VIC,1960-12-09,1961-02-07,Benioff LPN,,,,
VIC,1960-12-09,1961-02-07,Benioff LPZ,,,,
VIC,1960-12-09,1961-02-07,Benioff SPE,,,,
VIC,1960-12-09,1961-02-07,Benioff SPZ,,,,
VIC,1961-02-08,1966-09-01,Benioff SPE,,,,
VIC,1961-02-08,1966-09-01,Benioff SPN,,,,
VIC,1961-02-08,1966-09-01,Benioff SPZ,,,,
VIC,1961-02-08,1966-09-01,Columbia LPE,,,,
VIC,1961-02-08,1966-09-01,Columbia LPN,,,,
VIC,1961-02-08,1966-09-01,Columbia LPZ,,,,
VIC,1966-09-02,1967-11-15,Columbia LPN,,,,
VIC,1966-09-02,1967-11-15,Columbia LPZ,,,,
VIC,1966-09-02,1967-11-15,Teledyne SPZ,,,,
VIC,1966-09-02,1967-11-15,Wood-Anderson N,,,,
VIC,1966-09-02,1967-11-15,Wood-Anderson E,,,,
VIC,1966-09-02,1967-11-15,Benioff SPE,,,,
VIC,1966-09-02,1967-11-15,Benioff SPN,,,,
VIC,1966-09-02,1967-11-15,Benioff SPZ,,,,
VIC,1966-09-02,1967-11-15,Columbia LPE,,,,
VIC,1967-11-15,1978-03-29,Wood-Anderson E,,,,
VIC,1967-11-15,1978-03-29,Benioff SPE,,,,
VIC,1967-11-15,1978-03-29,Benioff SPN,,,,
VIC,1967-11-15,1978-03-29,Benioff SPZ,,,,
VIC,1967-11-15,1978-03-29,Columbia LPE,,,,
VIC,1967-11-15,1978-03-29,Columbia LPN,,,,
VIC,1967-11-15,1978-03-29,Columbia LPZ,,,,
VIC,1967-11-15,1978-03-29,Teledyne SPZ,,,,
VIC,1967-11-15,1978-03-29,Willmore SPZ,,,,
VIC,1967-11-15,1978-03-29,Wood-Anderson N,,,,
WHC,1971-09-01,,Willmore SPN,,,,
WHC,1971-09-01,,Willmore SPE,,,,
WHC,1971-09-01,,Willmore SPZ,,,,
YKC,1964-07-15,,Willmore SPN,,,,
YKC,1964-07-15,,Willmore SPE,,,,
YKC,1964-07-15,,Willmore SPZ,,,,
YKC,1964-07-15,,Columbia LPE,,,,
YKC,1964-07-15,,Columbia LPN,,,,
YKC,1964-07-15,,Columbia LPZ,,,,
